Millis,PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,BMP390 Temp (C),BMP390 Pressure (Pa),BMP390 Altitude (m),TMP117 Temp (C),SHTC3 Temp (C),SHTC3 Rel Hum (%),SCD40 CO2 Conc (ppm),SCD40 Temp (C),SCD40 Rel Hum (%),ENS160 AQI,ENS160 TVOC (ppb),ENS160 eCO2 (ppm),Ozone Conc (ppb),UV Sensor UVA2 (nm),UV Sensor UVB2 (nm),UV Sensor UVC2 (nm),SCD40_O CO2 Conc_O (ppm),SCD40_O Temp_O (C),SCD40_O Rel Hum_O (%),TMP117_O Temp_O (C),SHTC3_O Temp_O (C),SHTC3_O Rel_Hum_O (%),ENS160_O AQI_O,ENS160_O TVOC_O (ppb),ENS160_O eCO2_O (ppm)
2405004,2085,11,15,1,23,31,290.0,3495.0,1010.0,-36.5281982421875,0.751779317855835,4.122815132141113,9.08838939666748,-0.3831210434436798,-0.4847545623779297,-1.7362834215164185,-22.649999618530273,-18.299999237060547,-32.400001525878906,164.57684326171875,2025,3,29,17,5,15,32.810279846191406,-111.77137756347656,15976.0,8026377.0,17193224.0,28,-23.40409806738526,8911.189737270677,16418.53515625,-22.3046875,-24.969999313354492,8.670000076293945,,,,,,,75,,,,,,,-46.3515625,-45.0,1.9199999570846558,1,0,400
2472453,2085,11,15,1,23,31,331.25,3450.0,1140.0,-36.5281982421875,0.7422025203704834,1.800439715385437,8.757989883422852,-0.017027603462338448,-0.0872664600610733,-0.7720953226089478,-38.70000076293945,-24.149999618530273,-36.0,164.57684326171875,,,,,,,,,,,,,-23.743715118989083,8897.859080510698,16426.486328125,-22.59375,,,,,,,,,26,,,,,,,-46.0859375,,,1,0,400
2473190,,,,,,,,,,,0.028730420395731926,1.9153614044189453,8.365341186523438,0.38897430896759033,0.47783711552619934,1.381364345550537,-31.649999618530273,-22.049999237060547,-33.599998474121094,164.76853942871094,,,,,,,,,,,,,-23.748896222252142,8897.657931348771,16426.60546875,-22.59375,-25.139999389648438,8.699999809265137,,,,,,,27,,,,,,,-46.171875,-45.0,1.8200000524520874,,,
2473953,2085,11,15,1,23,31,316.25,3452.5,1090.0,-36.996341705322266,2.5905263423919678,2.2649147510528564,8.111555099487305,0.16442278027534485,0.1388813853263855,0.7593246698379517,-15.899999618530273,-9.0,-33.150001525878906,164.6726837158203,2025,3,29,17,6,24,32.81302261352539,-111.76524353027344,9205.0,34599720.0,17847090.0,29,-23.74769638745282,8897.704512142041,16426.578125,-22.578125,-25.149999618530273,8.680000305175781,,,,,,,27,,,,,,,-45.7578125,-44.97999954223633,1.850000023841858,1,0,400
2475539,2085,11,15,1,23,31,371.25,3385.0,1250.0,-35.59194564819336,0.9864110946655273,2.164358377456665,8.820239067077637,-0.39429542422294617,-0.9290685653686523,-2.9463071823120117,-46.79999923706055,-5.25,-41.099998474121094,164.76853942871094,,,,,,,,,,,,,-23.75871306056655,8897.276814038974,16426.833984375,-22.5859375,,,,,,,,,28,,,,,,,-45.625,,,1,0,400
2477041,2085,11,15,1,23,31,302.5,3452.5,1050.0,-36.5281982421875,0.4692635238170624,1.7334020137786865,9.50498104095459,-0.2575424909591675,-0.24051488935947418,-1.2877124547958374,-8.25,-7.800000190734863,-36.0,164.8643798828125,2025,3,29,17,6,27,32.813228607177734,-111.76530456542969,6950.0,33952916.0,17864068.0,29,-23.77060236194471,8896.815249592079,16427.109375,-22.6015625,-25.15999984741211,8.699999809265137,,,,,,,29,,,,,,,-45.1875,-44.7599983215332,1.7599999904632568,1,0,400
2478527,2085,11,15,1,23,31,326.25,3407.5,1110.0,-37.46448516845703,0.4118026793003082,0.9481038451194763,9.96945571899414,0.2766985297203064,0.28095543384552,1.1658586263656616,-6.449999809265137,-1.0499999523162842,-37.95000076293945,164.57684326171875,,,,,,,,,,,,,-23.77998292666983,8896.451085504299,16427.326171875,-22.6171875,,,,,,,,,29,,,,,,,-45.3984375,,,,,
2485239,,,,,,,,,,,2.3127987384796143,2.145204782485962,9.830592155456543,-0.20273490250110626,-0.24796445667743683,-1.277602195739746,-46.79999923706055,-27.149999618530273,-40.04999923706055,164.96022033691406,,,,,,,,,,,,,-23.811833315019484,8895.214667605023,16428.064453125,-22.6171875,-25.18000030517578,8.6899995803833,,,,,,,27,,,,,,,-44.796875,-44.25,1.7699999809265137,1,0,400
2486004,2085,11,15,1,23,31,322.5,3445.0,1110.0,-36.5281982421875,1.2210428714752197,3.73016619682312,9.576807022094727,-0.2628636062145233,-0.259138822555542,-1.092427134513855,-54.75,-6.0,-46.650001525878906,164.8164520263672,2025,3,29,17,6,36,32.813690185546875,-111.76515197753906,8553.0,2890160.0,17932840.0,29,-23.81468749540164,8895.103875674165,16428.130859375,-22.625,-25.15999984741211,8.670000076293945,,,,,,,27,,,,391,-45.0,1.840238094329834,-44.828125,-44.45000076293945,1.7400000095367432,1,0,400
2487490,2085,11,15,1,23,31,345.0,3387.5,1160.0,-36.060089111328125,-0.3734954595565796,3.1459810733795166,9.658209800720215,0.580534815788269,0.9524815678596497,3.139996290206909,-23.399999618530273,-29.25,-33.900001525878906,164.57684326171875,,,,,,,,,,,,,-23.818268857233306,8894.964857298464,16428.21484375,-22.625,,,,,,,,,26,,,,,,,-44.8828125,,,1,0,400
2488227,,,,,,,,,,,0.49320554733276367,2.432508945465088,9.53849983215332,0.636406660079956,1.1536201238632202,4.354277610778809,-33.150001525878906,19.350000381469727,-48.150001525878906,164.76853942871094,,,,,,,,,,,,,-23.822268349885178,8894.809602798856,16428.306640625,-22.6171875,-25.170000076293945,8.699999809265137,,,,,,,25,,,,,,,-44.8828125,-44.470001220703125,1.75,1,0,400
2491977,2085,11,15,1,23,31,306.25,3461.25,1060.0,-36.996341705322266,1.8579005002975464,1.8962076902389526,9.366117477416992,-0.1761292666196823,-0.5097638368606567,-1.62187922000885,-33.0,-20.25,-33.900001525878906,164.76853942871094,2025,3,29,17,6,42,32.81406784057617,-111.76483917236328,5836.0,4405041.0,18000002.0,29,-23.826685974112277,8894.638125734653,16428.408203125,-22.640625,-25.15999984741211,8.699999809265137,,,,,,,23,,,,,,,-44.828125,-44.63999938964844,1.75,1,0,400
2493463,2085,11,15,1,23,31,370.0,3453.75,1140.0,-35.59194564819336,0.507570743560791,3.7924153804779053,7.972691535949707,0.24743235111236572,0.3650292456150055,1.2329047918319702,-43.650001525878906,-7.800000190734863,-37.95000076293945,164.57684326171875,,,,,,,,,,,,,-23.827994900373223,8894.587317218095,16428.439453125,-22.640625,,,,,,,,,22,,,,,,,-44.828125,,,1,0,400
2494201,,,,,,,,,,,1.8531121015548706,3.0789434909820557,8.02536392211914,0.49326837062835693,0.9067198634147644,2.996325969696045,-21.600000381469727,-14.399999618530273,-32.400001525878906,164.96022033691406,,,,,,,,,,,,,-23.830721830911667,8894.481463470784,16428.501953125,-22.640625,-25.190000534057617,8.720000267028809,,,,,,,21,,,,,,,-44.7734375,-44.79999923706055,1.7200000286102295,,,
2494963,2085,11,15,1,23,31,447.5,3377.5,1510.0,-36.5281982421875,-0.49320554733276367,1.173158884048462,9.366117477416992,0.7258015275001526,1.0440049171447754,3.9376330375671387,-33.599998474121094,14.25,-42.599998474121094,164.57684326171875,2025,3,29,17,6,45,32.814144134521484,-111.7647705078125,1837.0,34917988.0,18029628.0,29,-23.832048937511885,8894.42995111273,16428.533203125,-22.6328125,-25.170000076293945,8.699999809265137,,,,,,,21,,,,391,-45.0,1.840238094329834,-45.03125,-44.900001525878906,1.8200000524520874,1,0,400
2496546,2085,11,15,1,23,31,322.5,3435.0,1110.0,-36.996341705322266,1.2449848651885986,2.8347349166870117,8.968679428100586,0.39057064056396484,0.35970810055732727,1.3100610971450806,-22.350000381469727,19.5,-47.70000076293945,164.96022033691406,,,,,,,,,,,,,-23.83303063297575,8894.391845871298,16428.556640625,-22.6328125,,,,,,,,,21,,,,,,,-45.03125,,,,,
2507011,2085,11,15,1,23,31,313.75,3446.25,1080.0,-36.5281982421875,1.7142484188079834,3.4189200401306152,9.581595420837402,-0.1580374389886856,-0.30170783400535583,-0.6082046627998352,-7.199999809265137,10.949999809265137,-43.20000076293945,165.34361267089844,2025,3,29,17,6,57,32.81471633911133,-111.76513671875,10465.0,34856052.0,18123816.0,29,-23.882006513003134,8892.490865343345,16429.69140625,-22.671875,-25.170000076293945,8.699999809265137,,,,,,,22,,,,,,,-44.734375,-44.459999084472656,1.7100000381469727,1,0,400
2508497,2085,11,15,1,23,31,441.25,3380.0,1480.0,-36.996341705322266,2.911349296569824,2.207453966140747,9.725247383117676,-0.11759687960147858,-0.19422109425067902,-0.37301093339920044,-10.050000190734863,-4.050000190734863,-34.79999923706055,165.34361267089844,,,,,,,,,,,,,-23.88520613762317,8892.366679614757,16429.765625,-22.671875,,,,,,,,,22,,,,,,,-45.046875,,,1,0,400
2509235,,,,,,,,,,,2.2457611560821533,3.423708438873291,9.27034854888916,-0.2729737460613251,-0.4570847153663635,-1.357951283454895,-18.0,-16.200000762939453,-32.099998474121094,165.34361267089844,,,,,,,,,,,,,-23.888460302879533,8892.24037778757,16429.83984375,-22.6640625,-25.190000534057617,8.710000038146973,,,,,,,23,,,,0,-45.0,1.6556038856506348,-45.046875,-44.5,1.7400000095367432,,,
2509999,2085,11,15,1,23,31,328.75,3427.5,1130.0,-36.996341705322266,1.1061211824417114,3.624821424484253,9.610325813293457,-0.3144785463809967,-0.6348103284835815,-1.9922295808792114,-42.45000076293945,-16.350000381469727,-36.75,165.19984436035156,2025,3,29,17,7,0,32.81498718261719,-111.76517486572266,9821.0,35324272.0,18151834.0,29,-23.887860372852117,8892.263665984847,16429.826171875,-22.6640625,-25.18000030517578,8.6899995803833,,,,,,,23,,,,,,,-45.0,-44.66999816894531,1.6699999570846558,1,0,400
