time,lasttime,lat,lng,speed,course,altitude,comment
2025-03-29 15:56:30,2025-03-29 16:29:43,32.84817,-112.31917,0,0,549.86,""
2025-03-29 16:31:12,2025-03-29 16:31:12,32.84800,-112.31917,19,236,551.69,""
2025-03-29 16:32:41,2025-03-29 16:32:41,32.84900,-112.31433,35,19,1257.91,""
2025-03-29 16:33:11,2025-03-29 16:33:11,32.85033,-112.31367,15,60,1465.78,""
2025-03-29 16:35:43,2025-03-29 16:35:43,32.86100,-112.30317,52,71,2523.74,""
2025-03-29 16:36:11,2025-03-29 16:36:11,32.86183,-112.29933,33,94,2741.68,""
2025-03-29 16:36:41,2025-03-29 16:36:41,32.86283,-112.29550,48,55,2964.79,""
2025-03-29 16:37:11,2025-03-29 16:37:11,32.86450,-112.29167,57,66,3201.62,""
2025-03-29 16:37:41,2025-03-29 16:37:41,32.86567,-112.28750,54,82,3432.66,""
2025-03-29 16:38:11,2025-03-29 16:38:11,32.86683,-112.28350,30,46,3666.74,""
2025-03-29 16:39:11,2025-03-29 16:39:11,32.86933,-112.27450,57,80,4135.53,""
2025-03-29 16:39:43,2025-03-29 16:39:43,32.86983,-112.26967,50,88,4379.67,""
2025-03-29 16:40:40,2025-03-29 16:40:40,32.87050,-112.25933,48,81,4867.66,""
2025-03-29 16:41:11,2025-03-29 16:41:11,32.87067,-112.25450,63,89,5111.50,""
2025-03-29 16:41:41,2025-03-29 16:41:41,32.87017,-112.24933,54,96,5349.54,""
2025-03-29 16:42:11,2025-03-29 16:42:11,32.86950,-112.24383,59,93,5585.46,""
2025-03-29 16:42:41,2025-03-29 16:42:41,32.86883,-112.23767,63,89,5824.42,""
2025-03-29 16:43:11,2025-03-29 16:43:11,32.86817,-112.23067,70,94,6057.60,""
2025-03-29 16:43:41,2025-03-29 16:43:41,32.86750,-112.22367,85,86,6296.56,""
2025-03-29 16:44:11,2025-03-29 16:44:11,32.86683,-112.21650,85,94,6532.47,""
2025-03-29 16:44:41,2025-03-29 16:44:41,32.86667,-112.20950,87,91,6768.39,""
2025-03-29 16:45:11,2025-03-29 16:45:11,32.86633,-112.20217,96,96,6999.43,""
2025-03-29 16:45:41,2025-03-29 16:45:41,32.86533,-112.19450,76,86,7234.43,""
2025-03-29 16:46:11,2025-03-29 16:46:11,32.86517,-112.18683,89,96,7463.33,""
2025-03-29 16:46:41,2025-03-29 16:46:41,32.86467,-112.17950,113,97,7697.42,""
2025-03-29 16:46:54,2025-03-29 16:46:54,32.86433,-112.17550,87,97,7796.48,""
2025-03-29 16:47:54,2025-03-29 16:47:54,32.86033,-112.15583,141,100,8274.41,""
2025-03-29 16:48:24,2025-03-29 16:48:24,32.85633,-112.14183,167,107,8508.19,""
2025-03-29 16:48:54,2025-03-29 16:48:54,32.85250,-112.12700,159,106,8729.17,""
2025-03-29 16:49:24,2025-03-29 16:49:24,32.84800,-112.11317,163,110,8951.37,""
2025-03-29 16:49:54,2025-03-29 16:49:54,32.84300,-112.09983,169,114,9206.18,""
2025-03-29 16:50:24,2025-03-29 16:50:24,32.83833,-112.08733,152,112,9457.33,""
2025-03-29 16:50:54,2025-03-29 16:50:54,32.83400,-112.07433,157,111,9717.33,""
2025-03-29 16:51:24,2025-03-29 16:51:24,32.83017,-112.06117,172,107,9991.34,""
2025-03-29 16:51:54,2025-03-29 16:51:54,32.82617,-112.04783,167,104,10234.27,""
2025-03-29 16:52:24,2025-03-29 16:52:24,32.82150,-112.03350,161,113,10511.33,""
2025-03-29 16:52:54,2025-03-29 16:52:54,32.81733,-112.02017,144,103,10769.19,""
2025-03-29 16:53:24,2025-03-29 16:53:24,32.81350,-112.00767,152,111,11029.19,""
2025-03-29 16:53:54,2025-03-29 16:53:54,32.81067,-111.99533,143,107,11302.29,""
