Millis,PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,BMP390 Temp (C),BMP390 Pressure (Pa),BMP390 Altitude (m),TMP117 Temp (C),SHTC3 Temp (C),SHTC3 Rel Hum (%),SCD40 CO2 Conc (ppm),SCD40 Temp (C),SCD40 Rel Hum (%),ENS160 AQI,ENS160 TVOC (ppb),ENS160 eCO2 (ppm),Ozone Conc (ppb),UV Sensor UVA2 (nm),UV Sensor UVB2 (nm),UV Sensor UVC2 (nm),SCD40_O CO2 Conc_O (ppm),SCD40_O Temp_O (C),SCD40_O Rel Hum_O (%),TMP117_O Temp_O (C),SHTC3_O Temp_O (C),SHTC3_O Rel_Hum_O (%),ENS160_O AQI_O,ENS160_O TVOC_O (ppb),ENS160_O eCO2_O (ppm)
2777006,2085,11,15,1,23,31,307.5,3341.25,1020.0,-36.060089111328125,-0.5410895943641663,4.180276393890381,9.097966194152832,-0.5533970594406128,-0.09045914560556412,-1.2515288591384888,-29.549999237060547,19.950000762939453,-52.79999923706055,170.42343139648438,2025,3,29,17,11,27,32.81829833984375,-111.74813842773438,6006.0,7442470.0,20071976.0,28,-23.8883512246887,8892.244612184226,16429.837890625,-22.3515625,-24.469999313354492,8.829999923706055,,,,,,,25,,,,0,-39.95841979980469,3.678950071334839,-35.8671875,-35.7400016784668,1.0,1,0,400
2778490,2085,11,15,1,23,31,341.25,3346.25,1140.0,-36.996341705322266,2.1930887699127197,4.400542736053467,8.092401504516602,0.4145157039165497,0.9695091247558594,2.0172388553619385,-30.149999618530273,-4.800000190734863,-31.049999237060547,170.75888061523438,,,,,,,,,,,,,-23.884569848513504,8892.391375489879,16429.75,-22.3515625,,,,,,,,,26,,,,,,,-35.7734375,,,1,0,400
2785196,,,,,,,,,,,0.14844051003456116,4.692635536193848,8.355764389038086,-0.1926247626543045,0.45921316742897034,0.4177083969116211,-36.900001525878906,-3.299999952316284,-32.849998474121094,170.47134399414062,,,,,,,,,,,,,-23.856300493842753,8893.488610177375,16429.095703125,-22.3203125,-24.43000030517578,8.84000015258789,,,,,,,31,,,,,,,-35.609375,-35.540000915527344,1.0,1,0,400
2800230,,,,,,,,,,,-0.5650315880775452,4.812345504760742,8.882488250732422,-0.15324842929840088,0.5209382176399231,0.6252322793006897,-22.200000762939453,-7.949999809265137,-29.850000381469727,171.52565002441406,,,,,,,,,,,,,-23.79465372014624,8895.881560077643,16427.666015625,-22.234375,-24.290000915527344,8.84000015258789,,,,,,,24,,,,,,,-34.5546875,-34.4900016784668,1.059999942779541,,,
2813044,2085,11,15,1,23,31,1750.0,3088.75,4880.0,-36.060089111328125,3.7014358043670654,4.165910720825195,8.360552787780762,0.17825771868228912,0.21869827806949615,-0.42462584376335144,-40.349998474121094,-11.100000381469727,-32.099998474121094,171.6215057373047,2025,3,29,17,12,3,32.818599700927734,-111.74579620361328,5096.0,7755438.0,20286768.0,28,-23.73431642618833,8898.223972901884,16426.267578125,-22.1640625,-24.239999771118164,8.829999923706055,,,,,,,20,,,,,,,-34.40625,-34.040000915527344,0.9300000071525574,1,0,400
2815269,,,,,,,,,,,1.5466543436050415,4.869806289672852,8.078036308288574,0.3953596353530884,0.9796193242073059,2.0582115650177,-6.75,10.949999809265137,-41.70000076293945,171.6215057373047,,,,,,,,,,,,,-23.72546312423972,8898.567702254548,16426.064453125,-22.1640625,-24.200000762939453,8.869999885559082,,,,,,,20,,,,0,-38.55382537841797,4.414434909820557,-33.796875,-33.86000061035156,1.0299999713897705,1,0,400
2917282,,,,,,,,,,,2.3558945655822754,4.299986362457275,8.729259490966797,-0.03990844264626503,0.2628636062145233,-0.6305533647537231,-54.45000076293945,9.899999618530273,-50.400001525878906,173.7301025390625,,,,,,,,,,,,,-23.128883194538385,8921.743984790639,16412.248046875,-21.5703125,-23.389999389648438,8.90999984741211,,,,,,,20,,,,,,,-30.6953125,-31.100000381469727,0.41999998688697815,,,
2918045,2085,11,15,1,23,31,336.25,3307.5,1110.0,-35.59194564819336,-1.5945383310317993,3.5673606395721436,8.863334655761719,-0.5406264066696167,-0.2277441769838333,-0.8040221333503723,-25.350000381469727,16.799999237060547,-39.45000076293945,173.7301025390625,2025,3,29,17,13,48,32.81792068481445,-111.73794555664062,4327.0,5819406.0,20910256.0,29,-23.122284721621426,8922.000481184887,16412.095703125,-21.5625,-23.389999389648438,8.90999984741211,,,,,,,20,,,,,,,-30.953125,-30.979999542236328,0.4699999988079071,1,0,400
2919531,2085,11,15,1,23,31,440.0,3276.25,1450.0,-35.12379837036133,1.987187385559082,4.505887508392334,7.752425193786621,0.41291937232017517,0.8694719672203064,1.6628518104553223,-25.200000762939453,-1.649999976158142,-29.25,173.58633422851562,,,,,,,,,,,,,-23.114704665780916,8922.29514065772,16411.919921875,-21.5546875,,,,,,,,,20,,,,0,-35.9609375,5.886930465698242,-30.765625,,,,,
2931480,2085,11,15,1,23,31,331.25,3320.0,1100.0,-35.12379837036133,1.9105730056762695,5.051765441894531,8.269572257995605,0.06332139670848846,0.3714146018028259,-0.11600054800510406,-52.650001525878906,10.050000190734863,-48.29999923706055,173.7780303955078,,,,,,,,,,,,,-23.032760633437814,8925.48083404197,16410.0234375,-21.4765625,,,,,,,,,20,,,,,,,-29.984375,,,1,0,400
2932219,,,,,,,,,,,-1.091755986213684,2.7964274883270264,9.102754592895508,-0.5879844427108765,-0.2245515137910843,-1.2110881805419922,-28.200000762939453,15.449999809265137,-38.849998474121094,173.58633422851562,,,,,,,,,,,,,-23.026198610673816,8925.735967042885,16409.87109375,-21.4765625,-23.25,8.899999618530273,,,,,,,20,,,,,,,-30.203125,-30.389999389648438,0.3799999952316284,1,0,400
2932984,2085,11,15,1,23,31,498.75,3280.0,1640.0,-35.12379837036133,-0.7996633648872375,1.6855180263519287,9.141061782836914,-0.17878982424736023,0.1899641901254654,1.2999510765075684,-28.649999618530273,4.050000190734863,-32.54999923706055,174.06556701660156,2025,3,29,17,14,3,32.81822967529297,-111.73717498779297,2202.0,4899617.0,20995168.0,29,-23.01967294903471,8925.989685547676,16409.720703125,-21.46875,-23.219999313354492,8.869999885559082,,,,,,,20,,,,,,,-29.96875,-30.18000030517578,0.49000000953674316,1,0,400
2946521,2085,11,15,1,23,31,335.0,3325.0,1110.0,-36.060089111328125,0.1628057211637497,5.166687488555908,8.288725852966309,-0.207523912191391,0.4171762466430664,0.2091202437877655,-42.29999923706055,11.100000381469727,-40.04999923706055,173.9217987060547,,,,,,,,,,,,,-22.924079102843493,8929.706802619447,16407.5078125,-21.375,,,,,,,,,20,,,,,,,-28.859375,,,1,0,400
2947260,,,,,,,,,,,-1.359906554222107,3.045424461364746,9.327810287475586,-0.4671948552131653,-0.10695462673902512,-0.30277204513549805,-34.650001525878906,3.5999999046325684,-32.849998474121094,173.9217987060547,,,,,,,,,,,,,-22.91689916803514,8929.986018551404,16407.341796875,-21.3671875,-23.110000610351562,8.899999618530273,,,,,,,20,,,,,,,-29.296875,-29.68000030517578,0.33000001311302185,1,0,400
2948025,2085,11,15,1,23,31,347.5,3277.5,1140.0,-35.12379837036133,-2.4420857429504395,3.155557870864868,10.189722061157227,-0.030862528830766678,0.7508108615875244,2.4493143558502197,-31.950000762939453,-11.850000381469727,-28.5,174.3531036376953,2025,3,29,17,14,18,32.81842041015625,-111.73641967773438,4108.0,10054366.0,21080504.0,29,-22.909482939722547,8930.274429443945,16407.169921875,-21.359375,-23.1200008392334,8.899999618530273,,,,,,,20,,,,0,-34.73525619506836,6.807049751281738,-29.0546875,-29.520000457763672,0.5299999713897705,1,0,400
2949511,2085,11,15,1,23,31,340.0,3320.0,1130.0,-35.12379837036133,-0.2298433631658554,4.151545524597168,9.466673851013184,-0.4198368191719055,-0.06385350972414017,-1.5292916297912598,0.0,2.700000047683716,-40.5,174.30517578125,,,,,,,,,,,,,-22.90101245378838,8930.60384335135,16406.974609375,-21.3515625,,,,,,,,,20,,,,,,,-29.0546875,,,1,0,400
2950248,,,,,,,,,,,-0.6943184733390808,2.0829553604125977,10.333374977111816,-0.42143315076828003,-0.23306530714035034,-0.1729365885257721,-4.5,-31.950000762939453,-36.75,174.30517578125,,,,,,,,,,,,,-22.893359942520874,8930.901453604207,16406.796875,-21.34375,-23.079999923706055,8.899999618530273,,,,,,,20,,,,,,,-28.703125,-29.329999923706055,0.3499999940395355,1,0,400
2953236,,,,,,,,,,,-1.6855180263519287,2.604891538619995,9.011775016784668,-0.39163485169410706,0.08513801544904709,0.44750669598579407,-19.350000381469727,15.600000381469727,-38.70000076293945,174.4968719482422,,,,,,,,,,,,,-22.871602137984606,8931.74764795131,16406.29296875,-21.328125,-23.059999465942383,8.890000343322754,,,,,,,20,,,,0,-34.51361846923828,6.807049751281738,-28.953125,-29.40999984741211,0.30000001192092896,,,
